page,kpi,business_question,why_it_matters,action_if_bad,data_source
01 Data Platform,Estado Global Datos,¿Puedo confiar en los tableros operativos ahora?,Resume fallas críticas de activos que alimentan decisiones comerciales,Priorizar activos críticos FAIL antes de consumir resultados,Asset Health Current
01 Data Platform,Freshness Crítica %,¿Las fuentes críticas están dentro de su SLA?,Un dashboard correcto pero viejo puede inducir una mala decisión,Revisar pipeline/origen de activos críticos fuera de SLA,Asset Health Current + Dim Asset
01 Data Platform,Reliability 24h,¿La plataforma está ejecutándose con la frecuencia esperada?,Detecta también ejecuciones faltantes y no solo fallidas,Revisar Task Scheduler/credenciales/red/conexión,Pipeline Runs + Dim Asset
01 Data Platform,Lag Replicación Máx,¿Cuánto se está quedando atrás PostgreSQL respecto a Redshift?,Cuantifica riesgo de reportar información desactualizada,Inspeccionar activo con mayor lag y su watermark,Asset Health Current
01 Data Platform,Productos Impactados,¿Qué reportes o decisiones están comprometidos?,Traduce un incidente técnico a impacto comercial,Comunicar impacto y evitar usar producto hasta recuperar SLA,Asset Health Current
02 Data Quality,Data Quality Score,¿La copia local es estructuralmente confiable?,Combina controles profundos de reconciliación/integridad,Investigar check fallido antes de usar datos para C-level o modelos,Asset Quality Current
02 Data Quality,Activos con Gap de Conteo,¿Origen y destino tienen diferencias materiales?,Puede señalar pérdidas de registros o estrategia incremental defectuosa,Reconciliar rango temporal y revisar deletes/lookback,Quality Checks
02 Data Quality,Activos con Duplicados,¿El grano de negocio se está rompiendo?,Duplicados pueden inflar separaciones/minutas/leads,Corregir key_columns o deduplicación/UPSERT,Quality Checks
02 Data Quality,Activos con Keys NULL,¿Existen registros que no pueden identificarse de forma estable?,Rompe relaciones y trazabilidad del modelo relacional,Corregir fuente/regla de llave antes de modelar,Quality Checks
02 Data Quality,Schema Drift,¿Cambió Redshift sin que nuestra réplica lo capture?,Un cambio de CRM puede romper silenciosamente ETL y PBI,Actualizar contrato de tabla y probar antes de producción,Quality Checks
03 Models & MLOps,Modelos con Drift,¿La relación aprendida sigue representando el negocio?,Un modelo puede correr bien técnicamente pero decidir peor,Evaluar drift/performance y decidir retraining,Model Health Current
03 Models & MLOps,Feature Freshness Máx,¿Los scores están usando datos suficientemente recientes?,Predicciones con features viejas pueden ser operativamente inútiles,Detener o etiquetar scoring si data_as_of viola SLA,Model Health Current
03 Models & MLOps,Último Scoring,¿Los sistemas de decisión tienen scores recientes?,Permite distinguir modelo entrenado de modelo realmente operativo,Revisar job de scoring y dependencia de datos,Model Health Current
04 Decisions & Learning,Adopción de Recomendaciones,¿El negocio ejecuta lo que el sistema recomienda?,Sin adopción no existe impacto aunque el modelo sea bueno,Entender fricción operacional y rediseñar política/UX,Decision Health Daily
04 Decisions & Learning,Valor Incremental Esperado,¿Qué valor económico espera generar la política?,Conecta probabilidad/causalidad con economía,Priorizar acciones con mayor valor incremental y capacidad,Decision Health Daily
04 Decisions & Learning,Valor Realizado,¿El impacto esperado se materializó?,Pasa de accuracy a resultado empresarial,Comparar esperado vs observado y revisar supuestos,Decision Health Daily
04 Decisions & Learning,ROI Realizado,¿Las intervenciones crean valor neto después de costos?,Permite decidir si escalar/reducir una política,Reasignar recursos hacia intervenciones con ROI positivo,Decision Health Daily
04 Decisions & Learning,Cobertura de Outcomes,¿Estamos cerrando el loop de aprendizaje?,Sin outcomes no puedes validar causalidad ni mejorar políticas,Automatizar captura de resultado y trazabilidad,Decision Health Daily
